task,student,buckets,origin,eval_day,arm,seed,teacher,n,base_rate,logloss,ne,cane,cane_mult,cal_mult,cal_clip_frac,cane_shift,ne_miscalibration,auc,pr_auc,ece,pred_mean,cal_ratio,n_train,eval_rows,secs,n_teacher,frac_censored,n_train_band0,n_train_band1,frac_sum_gt1,dom_auc,weight_p99,n_train_band2
1d,S4,131072,40,41,A,0,n13,296223,0.1436924209126232,0.2995441846213125,0.7277377083382557,0.7274260453533529,0.7273745735551643,0.9676834915956496,0.0,-0.0536748077730245,0.0003116629849028,0.848146699172789,0.5411467873441597,0.0059190253814908,0.1484911359557074,1.0333957421874196,9767244.0,296223,5.2,,,,,,,,
1d,S4,131072,40,41,B_teacher,0,n13,296223,0.1436924209126232,0.2976902286243439,0.7232335524979426,0.7206334329797582,0.7214975353154726,0.9105327078155218,0.0,-0.1532973653279404,0.0026001195181843,0.8510923706670988,0.5488135114796131,0.0141189566241143,0.1578113775367375,1.0982581860229064,9767244.0,296223,0.0,,,,,,,,
1d,S4,131072,40,41,B,0,n13,296223,0.1436924209126232,0.2996518908142612,0.7279993787763898,0.7253772178476673,0.72611851629769,0.9100230355852188,0.0,-0.1536513617259443,0.0026221609287224,0.848946123758954,0.543278929825043,0.0142073412842945,0.1578997621969177,1.0988732822097396,10052380.0,296223,11.9,9767244.0,,,,,,,
1d,S4,131072,40,41,B_nofresh,0,n13,296223,0.1436924209126232,0.299788197075511,0.7283305326137425,0.7255735683839563,0.7263356041262752,0.907914066115636,0.0,-0.1575267070699256,0.0027569642297862,0.8488586041115006,0.5430438729527827,0.0145741224480145,0.1582665433606378,1.1014258257704266,9767244.0,296223,11.7,9767244.0,,,,,,,
1d,S4,131072,40,41,C,0,n13,296223,0.1436924209126232,0.299178507500672,0.7268493017410684,0.7264167177091226,0.7263837948248354,0.9621164466582224,0.0,-0.0632298971608915,0.0004325840319457,0.8486177351778857,0.5424784198817483,0.0065267818796904,0.1493503425824585,1.0393752268484346,10052380.0,296223,5.8,,0.0283650252968072,,,,,,
1d,S4,131072,40,41,D,0,n13,296223,0.1436924209126232,0.29929033863029,0.7271209936455264,0.7265251910034348,0.726680345229883,0.9554848378491244,0.0,-0.0736707712051972,0.0005958026420915,0.8484507101349485,0.5440215752248039,0.0069129882202171,0.150386918997152,1.0465890827227389,,296223,11.1,,,10048963.0,9767244.0,0.0,,,
1d,S4,131072,40,41,E,0,n13,296223,0.1436924209126232,0.299582339220002,0.7278304043131348,0.7277739899927412,0.7276937740683214,0.9860863782554224,0.0,-0.0229434751887105,5.6414320393605166e-05,0.8480058347981455,0.5412052936958284,0.0059360374106045,0.1457199126579995,1.0141099421423845,9767244.0,296223,5.5,,,,,,0.7032958898302196,3.3976681232452397,
7d,S4,131072,40,41,oracle,0,n13,296223,0.1933543310276379,0.3597489755558167,0.7326111228780661,0.7325779649872244,0.7325543392917657,0.9902610340840394,0.0,-0.01714223199582,3.315789084168408e-05,0.8414917781947311,0.5927157475858943,0.004112529098055,0.1952559217948878,1.0098347461737387,10052380.0,296223,5.6,,,,,,,,
7d,S4,131072,40,41,A,0,n13,296223,0.1933543310276379,0.3700689459998826,0.7536272359147036,0.7533957924950895,0.7538663973091073,1.026696802599535,0.0,0.0450781363262304,0.0002314434196141,0.8302239581895131,0.5705224750018689,0.0116037190091923,0.1883266126261193,0.973997384104109,8183873.0,296223,5.0,,,,,,,,
7d,S4,131072,40,41,B_teacher,0,n13,296223,0.1933543310276379,0.3792261894098235,0.7722755124432457,0.7553020258736679,0.7541275193469739,0.8135414772769406,0.0,-0.3846509243128366,0.0169734865695777,0.8295027388296199,0.5746862773368077,0.0444097941039775,0.2376699116495292,1.2291936280214837,8183873.0,296223,0.0,,,,,,,,
